"POP_COMP","Population Component","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Births","STE","States and Territories","4","South Australia","A","Annual","2019","2019",19239,,
"2","Deaths","STE","States and Territories","4","South Australia","A","Annual","2017","2017",13755,,
"2","Deaths","STE","States and Territories","4","South Australia","A","Annual","2018","2018",13898,,
"2","Deaths","STE","States and Territories","4","South Australia","A","Annual","2019","2019",13904,,
"3","Natural Increase","STE","States and Territories","4","South Australia","A","Annual","2017","2017",5683,,
"3","Natural Increase","STE","States and Territories","4","South Australia","A","Annual","2018","2018",5031,,
"3","Natural Increase","STE","States and Territories","4","South Australia","A","Annual","2019","2019",5335,,
"4","Internal Arrivals","STE","States and Territories","4","South Australia","A","Annual","2017","2017",21996,,
"4","Internal Arrivals","STE","States and Territories","4","South Australia","A","Annual","2018","2018",23738,,
"4","Internal Arrivals","STE","States and Territories","4","South Australia","A","Annual","2019","2019",24976,,
"5","Internal Departures","STE","States and Territories","4","South Australia","A","Annual","2017","2017",28774,,
"5","Internal Departures","STE","States and Territories","4","South Australia","A","Annual","2018","2018",28889,,
"5","Internal Departures","STE","States and Territories","4","South Australia","A","Annual","2019","2019",28934,,
"6","Net Internal Migration","STE","States and Territories","4","South Australia","A","Annual","2017","2017",-6778,,
"6","Net Internal Migration","STE","States and Territories","4","South Australia","A","Annual","2018","2018",-5151,,
"6","Net Internal Migration","STE","States and Territories","4","South Australia","A","Annual","2019","2019",-3958,,
"7","Overseas Arrivals","STE","States and Territories","4","South Australia","A","Annual","2017","2017",23819,,
"7","Overseas Arrivals","STE","States and Territories","4","South Australia","A","Annual","2018","2018",24104,,
"7","Overseas Arrivals","STE","States and Territories","4","South Australia","A","Annual","2019","2019",25509,,
"8","Overseas Departures","STE","States and Territories","4","South Australia","A","Annual","2017","2017",11644,,
"8","Overseas Departures","STE","States and Territories","4","South Australia","A","Annual","2018","2018",11380,,
"8","Overseas Departures","STE","States and Territories","4","South Australia","A","Annual","2019","2019",11450,,
"9","Net Overseas Migration","STE","States and Territories","4","South Australia","A","Annual","2017","2017",12175,,
"9","Net Overseas Migration","STE","States and Territories","4","South Australia","A","Annual","2018","2018",12724,,
"9","Net Overseas Migration","STE","States and Territories","4","South Australia","A","Annual","2019","2019",14059,,
"10","Estimated Resident Population","STE","States and Territories","4","South Australia","A","Annual","2017","2017",1723923,,
"10","Estimated Resident Population","STE","States and Territories","4","South Australia","A","Annual","2018","2018",1736527,,
"10","Estimated Resident Population","STE","States and Territories","4","South Australia","A","Annual","2019","2019",1751963,,
"1","Births","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",35027,,
"1","Births","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",33963,,
"1","Births","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",33032,,
"2","Deaths","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",14887,,
"2","Deaths","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",14655,,
"2","Deaths","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",14968,,
"3","Natural Increase","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",20140,,
"3","Natural Increase","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",19308,,
"3","Natural Increase","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",18064,,
"4","Internal Arrivals","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",26669,,
"4","Internal Arrivals","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",28189,,
"4","Internal Arrivals","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",31856,,
"5","Internal Departures","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",40603,,
"5","Internal Departures","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",39489,,
"5","Internal Departures","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",38307,,
"6","Net Internal Migration","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",-13934,,
"6","Net Internal Migration","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",-11300,,
"6","Net Internal Migration","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",-6451,,
"7","Overseas Arrivals","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",48641,,
"7","Overseas Arrivals","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",44193,,
"7","Overseas Arrivals","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",45833,,
"8","Overseas Departures","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",36632,,
"8","Overseas Departures","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",32213,,
"8","Overseas Departures","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",30118,,
"9","Net Overseas Migration","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",12009,,
"9","Net Overseas Migration","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",11980,,
"9","Net Overseas Migration","STE","States and Territories","5","Western Australia","A","Annual","2019","2019",15715,,
"10","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",2574193,,
"10","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",2594181,,
